viral,interactions_count,perm_3_days,perm_4_days,Cadherin-5_score,Cadherin-2_score,Cadherin-3_score,Cadherin-4_score,Catenin delta 1_score,Cateninβ  _score,α Catenin _score,Occludin_score,Claudin-5_score,ZO-1_score,ZO-2_score,ZO-3_score
e,6,130.6,133.3,0.00040920007061217005,0.0004856158917468554,0.00020784870503416655,0.00010683949771246309,0.000551393539894056,0.0015300509178767202,0.0006060695641852394,0.00045999775646792933,0.00013683953844591647,0.0006147593773418296,0.0005644386553106907,0.00020901039150379453
m,30,136.2,135.7,0.002223297928220136,0.002405205025593306,0.0009921347498879148,0.0004855212949173286,0.0027084948659805647,0.007665752403878964,0.002868462680471885,0.002284342863425759,0.0011212804075556187,0.004071521738027069,0.002499138087203117,0.000683318659756287
n,15,148.6,136.8,0.0016582172274152874,0.002034571481388873,0.0008961493185523749,0.0005643417744191968,0.003247552238289161,0.006495361756600965,0.0025684654005820096,0.0015909379691898015,0.0005613689093119619,0.0026485391136282536,0.0023289982072873436,0.0005601540848316264
spike,2,151.1,142.7,8.197103564707734e-05,0.00010002391276596913,4.36153672862501e-05,1.8925695644661665e-05,0.00014577026343509916,0.0002299936426639569,0.00012821584393799806,0.00015852150743581023,0.00010843185233573622,0.00013418408521754046,8.853731744293877e-05,2.6846809732582472e-05
nsp1,6,133.1,127.3,0.00036633736629532816,0.0004034219185546291,0.00022209904035583086,9.781130362976843e-05,0.00047660284562472065,0.0014044378398094925,0.0006084775572534878,0.00031759076039735904,0.00011709489847662768,0.0005954511785840842,0.0005808996304996884,0.00011204151892193501
nsp10,5,134.7,124.1,0.000410293780799686,0.0004995403692691679,0.0010751074745824574,9.553456830446917e-05,0.000916873183620312,0.0015258659167405547,0.000637366706713798,0.00043018071202127013,0.00014546303631776154,0.0006247720058122506,0.000503899696043558,0.00019844981573870405
nsp11,1,134.2,135.3,6.186304511321702e-05,8.25500794562243e-05,3.2936350313561536e-05,1.6422066490358927e-05,8.673577571777368e-05,0.00024232423782563108,9.157286749359459e-05,6.284521996733251e-05,2.4005902903842897e-05,0.00011963983678872228,8.801934127722532e-05,2.2323266965980128e-05
nsp12,20,126.6,117.2,0.0011056218955957753,0.0012831363855104862,0.0005863184527168158,0.00032610825572346625,0.001612892301204611,0.004198285685557232,0.0016710574105650831,0.0011197983134983915,0.0003825035733466053,0.0017949151684268198,0.0016260414923850348,0.00039154207372695725
nsp13,40,118.2,114.2,0.0029103611407736503,0.0035883105835585,0.0015507254081286764,0.0007534207570265133,0.004724548592994887,0.011270738732628684,0.00582930040879501,0.003052036547663958,0.0010440626984787923,0.006628955427449974,0.0065103166802305225,0.0011512364858506817
nsp14,3,135.4,116.6,0.0001634302518777418,0.00019741641534891068,8.67673253229697e-05,4.186226116212742e-05,0.0002315301685907399,0.0007439128120252903,0.00025629316250488395,0.000160313456818223,5.5616000563196094e-05,0.00023440189430646267,0.00020825716851796078,5.420782810528662e-05
nsp15,3,130.2,121.5,0.00026869204526446883,0.000318350203791373,0.00015765967922574863,7.078042100827312e-05,0.0003935450700373058,0.000928224395905059,0.0004418946071757425,0.00025434230346622265,0.00010126250223842436,0.0003904812422255535,0.0003332311073784852,8.797845823028936e-05
nsp2,7,109.0,116.3,0.0005989527068555114,0.000533373851095456,0.0002732696299106851,0.00010985086400845515,0.0006603036699942939,0.0016747570135843914,0.0007337225488948194,0.0004889404166196899,0.00016467059031008896,0.0008312334060133581,0.0008705780978318281,0.000178399164106235
nsp4,8,140.2,136.9,0.00044862130967414024,0.0005418086197876858,0.000201073053946018,0.00010348649665003919,0.0005288431162580203,0.0018072363502895075,0.0005781946743966805,0.0004104929620567063,0.00016609682413168015,0.0006212129444689515,0.00048822988397540743,0.00012663383811275603
nsp5,1,127.6,121.9,0.000185055465035884,0.00021007972355008604,0.00010669374314653493,5.2066216034967224e-05,0.00025232477016642587,0.0008395525082311601,0.00029380385762125876,0.0001768536635159731,5.9696252792195365e-05,0.00026952208700060194,0.0003017481310172982,5.897964632018498e-05
nsp5_c145a,2,122.7,114.5,0.00011323871375525892,0.00013836290679715437,7.232743275297812e-05,2.614080284976527e-05,0.00016017338222235492,0.0003694728283409139,0.00016290171923339687,9.665035579435544e-05,3.640104169811242e-05,0.00017768073807530394,0.0001342807450239674,3.3963439195540884e-05
nsp6,4,139.4,132.9,0.0002204184369096531,0.00024081845877955404,0.00010657533175984036,4.748107562610976e-05,0.0002915398147686339,0.0006437970219189704,0.0002801460309433937,0.00029988899719431475,9.164588022983987e-05,0.0003004821640665098,0.00022872537759686783,7.676068801072867e-05
nsp7,32,111.9,104.6,0.002569120667626238,0.002840256114442618,0.0027040905977752457,0.0006269205493163677,0.0032546966125559075,0.007876205693958277,0.0038623965620325686,0.002695127417959329,0.0010801702652930428,0.0036967624042958617,0.0027551976034711615,0.000792745874593435
nsp8,24,133.65,129.3,0.0016768267167321337,0.0020883304286692383,0.0008471921799806929,0.0004537235236463186,0.002314580565260417,0.006313528778554093,0.0024774049767677738,0.0015688595728935103,0.0005349156995926526,0.0025878894979537936,0.0029114720348155086,0.000548846130179529
nsp9,16,128.7,124.1,0.0010237315006557607,0.0010901759789551455,0.00047611160342507335,0.00023614427970168638,0.001289907638747046,0.003477550277298053,0.001443965296971704,0.0012484599382966964,0.00031848564249515086,0.001630989738323367,0.0013499970508625678,0.00034746559326924057
orf10,9,141.6,136.9,0.0007694166974346199,0.0009282015567930044,0.0004377011056669683,0.00019580949552831898,0.0014406454409231803,0.0031104874143730796,0.0016956662571363038,0.0007150205308036324,0.00024675832842413616,0.0011348797138421103,0.0009608777536518027,0.0002514070270854548
orf3a,8,142.0,133.6,0.00041879107235386445,0.0004440954084448345,0.0002288795808945668,9.591963835796081e-05,0.0005443146560775505,0.0012708355182866073,0.0005746623239789767,0.0005286829896823989,0.0003258699446601809,0.0011941280942192726,0.0004914781324686603,0.00014564260764260317
orf3b,1,131.0,124.9,8.510191081099359e-05,0.00010932172967776325,4.1165929094636455e-05,1.9851219080766763e-05,0.00011751910382604722,0.0002912420086561643,0.00013073751856732612,8.02986362079823e-05,3.0598939750662745e-05,0.0001291239525144843,9.71625118421636e-05,3.3158051512743835e-05
orf6,3,128.4,127.1,0.0002479199996507634,0.0002805795868929614,0.0001237417032829414,6.332291065202242e-05,0.0003345495405832024,0.0012596898587445592,0.0003850264849501816,0.0002525780141270135,0.0001172778158290849,0.0008184738963475865,0.0007930522071295181,9.354774630048763e-05
orf7a,2,115.0,125.6,0.00012412823204693938,0.00013136328529931462,5.614617279609316e-05,3.016946224453525e-05,0.00018083409336092885,0.000399120740095679,0.0001774370693506271,0.00015085175597028447,4.320617243345165e-05,0.00017637840098270953,0.00013845209707417073,3.6770292606822536e-05
orf8,47,139.7,136.6,0.0027199894252349804,0.003100047350662293,0.0012003451856379996,0.0005287106329605394,0.0030820954081535405,0.007753577398813948,0.0032335222304955414,0.002701271777374947,0.0011686289221147176,0.005008131959933564,0.0026861466681787805,0.0007783715821295905
orf9b,11,140.6,134.8,0.0008300234782524735,0.0019933308963528975,0.0004137891189748666,0.00020070419453904227,0.001058721444482653,0.0026290583778602206,0.001081748510591337,0.0007118187016471464,0.00023579461541268443,0.001080803520661316,0.0009910459806414024,0.0002533283346291167
orf9c,26,143.9,128.8,0.001417227752486128,0.0013543639704001666,0.0006857064545416787,0.00030356776948366676,0.0016586797509874844,0.0038715216464024027,0.0021760915713455813,0.0033311555875714244,0.0021939090206887944,0.0020778641910823175,0.0013721971547588081,0.00039056842648490354
