SD,Permeability Value (4 days),Viral Protein SARS-Cov-2
15.6,142.7,spike
18.3,136.8,N
15.3,136.9,orf10
11.2,136.9,nsp4
13.5,136.6,orf8
11.2,135.7,M
15,135.3,nsp11
12.1,133.6,orf3a
10.5,133.3,E
17.3,132.9,nsp6
22.8,134.8,orf9b
15.6,129.3,nsp8
13,128.8,orf9c
12.9,127.3,nsp1
14.8,127.1,orf6
6.7,125.6,orf7a
10,124.9,orf3b
9,124.1,nsp10
8.5,124.1,nsp9
11.3,121.9,nsp5
9.2,121.5,nsp15
15.5,117.2,nsp12
13.2,116.6,nsp14
6.9,116.3,nsp2
9.4,114.5,nsp5_C145A
12,114.2,nsp13
7.9,104.6,nsp7